Дата,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
01.03.2026,7000.0,5880.0,5800.0,4000.0,4185.0,4000.0,4640.0,3650.0,3550.0,3900.0,2790.0,2350.0,1950.0,1999.2,2250.0,3150.0,6000.0,9000.0,7821.04,7800.0,9000.0,8849.05,6500.0,6500.0
02.03.2026,5880.0,5800.0,5800.0,5450.0,5600.0,5800.0,5880.0,11000.0,6969.0,5000.0,3900.0,3085.0,2750.0,2349.0,2901.0,4374.16,12000.0,14299.0,13789.0,13500.0,13500.0,13500.0,8000.0,7250.0
03.03.2026,5150.0,4000.0,3500.0,3051.0,3100.0,3500.0,5800.0,4185.0,5450.0,5000.0,3951.0,3250.0,2490.0,2749.0,2750.0,3400.0,5450.0,6500.0,7800.0,9000.0,7947.0,7000.0,5000.0,5000.0
04.03.2026,5800.0,5800.0,5410.0,3600.0,3600.0,5766.96,5880.0,9899.0,7500.0,3650.0,2790.0,1800.0,1500.0,1500.0,1575.0,2499.0,5000.0,7700.0,10000.0,10999.0,10000.0,8500.0,5200.0,4850.0
05.03.2026,5600.0,5800.0,4349.0,3300.0,3300.0,5600.0,5880.0,10264.0,5000.0,2850.0,1949.0,999.0,850.0,850.0,1000.0,1600.0,4570.0,7944.0,13499.0,13499.0,12682.08,9000.0,7544.0,5000.0
06.03.2026,4000.0,4185.0,3299.0,2799.0,2800.0,4000.0,5880.0,10150.0,9200.0,7844.0,2200.0,999.0,999.0,999.0,1100.0,1900.0,7166.97,6900.0,11500.0,13000.0,11500.0,8000.0,7311.0,6744.0
07.03.2026,10000.0,5900.0,5900.0,5800.0,5900.0,5900.0,5900.0,7134.0,6991.0,4000.0,1500.0,450.0,198.0,865.0,800.0,2100.0,7100.0,13499.0,14577.0,14577.0,13999.0,13500.0,10458.0,7998.0
08.03.2026,15000.0,6699.0,5800.0,5900.0,5800.0,5800.0,5900.0,5000.0,9200.0,9500.0,3913.9,1800.0,1500.0,1500.0,1800.0,2100.0,4185.0,11467.02,14897.0,15000.0,15000.0,15000.0,14897.0,6850.0
09.03.2026,5900.0,5900.0,5800.0,5800.0,5900.0,5900.0,11765.0,13000.0,12675.0,10000.0,4000.0,1750.0,1300.0,1250.0,1250.0,4051.0,5400.0,13999.0,15000.0,15000.0,15000.0,14900.53,13967.05,12000.0
10.03.2026,5800.0,5800.0,5800.0,4850.0,5800.0,5900.0,5900.0,13000.0,9300.0,6770.0,5000.0,2430.0,1200.0,1200.0,1000.0,3943.0,5150.0,6500.0,14000.0,14587.0,14587.0,9000.0,6000.0,7183.0
11.03.2026,5800.0,5800.0,5450.0,4850.0,5104.0,5900.0,8499.0,11000.0,5150.0,4999.0,4850.0,2999.0,1200.0,1200.0,1200.0,2999.0,5450.0,14100.0,14587.0,14897.0,14587.0,14587.0,9614.0,7957.0
12.03.2026,5900.0,5450.0,3500.0,3899.0,3899.0,5150.0,13467.05,14580.0,4330.0,2799.0,1400.0,549.0,477.0,477.0,478.0,1749.0,7999.0,14800.0,15000.0,15000.0,15000.0,14901.09,14699.0,12000.0
13.03.2026,3500.0,2800.0,2600.0,2600.0,2600.0,3499.0,6500.0,10966.98,5320.0,2243.0,1399.0,450.0,350.0,300.0,350.0,1350.0,4999.0,13500.0,15000.0,14798.0,14499.0,10000.0,5800.0,6000.0
14.03.2026,5150.0,6180.0,5365.0,4000.0,2800.0,5321.0,5600.0,5000.0,6206.62,4254.0,1200.0,373.5,501.0,638.0,431.0,1096.0,4185.0,11879.0,13900.0,14498.0,13900.0,8050.0,7966.98,7289.0
15.03.2026,14944.24,6499.0,5000.0,5150.0,5000.0,6399.0,6390.0,3999.0,3950.0,2716.0,1199.0,998.0,989.0,899.0,894.0,1150.0,3450.0,6100.0,9765.0,10349.0,10349.0,9565.0,8000.0,6500.0
16.03.2026,3300.0,4185.0,3000.0,3000.0,3559.0,4229.0,6818.8,10966.98,8349.0,5496.83,2200.0,1982.0,1400.0,2007.0,2200.0,4500.0,6767.01,9844.0,14990.0,14990.0,14990.0,14990.0,13466.96,9172.0
17.03.2026,4700.0,7850.0,6990.0,6990.0,6990.0,8499.0,15000.0,12967.0,15000.0,9586.0,4000.0,5190.0,4300.0,5368.91,7000.0,9500.0,9767.0,14990.0,14000.0,14899.99,14500.0,12800.0,8000.0,6499.0
18.03.2026,14951.0,3600.0,3100.0,3100.0,3100.0,5449.0,5600.0,7199.0,7999.0,7966.99,5904.0,3999.0,2800.0,2560.0,4999.0,4999.0,4888.0,7850.0,14899.71,14990.0,14902.93,13500.0,8234.0,7355.0
19.03.2026,10000.0,6028.0,4300.0,4000.0,4500.0,6500.0,9966.99,13500.0,12967.0,6249.0,5150.0,5299.0,3795.0,5150.0,5000.0,5660.0,7850.0,14500.0,14990.0,14990.0,14990.0,14500.0,8699.0,7839.0
20.03.2026,14942.5,6999.0,4800.0,4300.0,5000.0,6999.0,8285.0,10529.0,8299.0,6590.0,2499.0,2999.0,1999.0,2499.0,3300.0,9967.02,11967.0,14898.4,14901.35,14936.0,14899.83,14897.5,12000.0,8999.0
21.03.2026,7850.0,7448.0,5600.0,5100.0,5100.0,5540.0,7300.0,7464.5,7000.0,5999.0,2946.2,2729.0,2500.0,1549.0,1792.0,4400.0,7172.0,11500.0,14999.0,14974.74,14976.41,14500.0,11767.01,9322.0
22.03.2026,14973.83,6504.0,6399.0,6293.0,6168.0,6500.0,6504.0,5904.0,4850.0,3332.0,1501.0,1300.0,880.0,846.0,880.0,1950.0,4399.0,12000.0,14978.01,14974.13,14976.7,14976.95,13500.0,7897.0
