,Дата,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,01.03.2025,5600.0,4740.0,3770.0,2480.0,2480.0,3081.0,4190.0,5280.0,6800.0,6900.0,6400.0,4950.0,4570.0,4200.0,4550.0,5500.0,5600.0,8310.0,9000.0,9000.0,8700.0,8100.0,6863.0,6400.0
1,02.03.2025,4740.0,4740.0,4210.0,3770.0,3770.0,4000.0,4606.0,5000.0,5720.0,5720.0,5130.0,4434.0,3391.0,3914.0,3920.0,4650.0,5550.0,8300.0,8900.0,8800.0,8600.0,8100.0,6000.0,5600.0
2,03.03.2025,5400.0,4210.0,3770.0,3300.0,3300.0,4198.0,5100.0,6900.0,6900.0,6900.0,6900.0,5193.0,4570.0,4570.0,5010.0,5600.0,5600.0,9000.0,9000.0,9000.0,9000.0,9000.0,8200.0,6900.0
3,04.03.2025,5180.0,4198.0,3450.0,2500.0,2500.0,3785.0,5300.0,6900.0,6900.0,6700.0,3500.0,1000.0,985.0,985.0,1499.68,3271.0,5000.0,8400.0,9000.0,9000.0,9000.0,8800.0,8090.0,6850.0
4,05.03.2025,5180.0,4740.0,3770.0,3450.0,3770.0,4210.0,5400.0,6900.0,6900.0,4800.0,2077.0,650.0,500.0,900.0,975.0,2450.0,4650.0,8100.0,9000.0,9000.0,9000.0,8900.0,7545.0,5860.0
5,06.03.2025,4280.0,1588.0,800.0,500.0,800.0,800.0,3770.0,5280.0,5280.0,3512.0,2500.0,2000.0,450.0,400.0,634.0,999.0,4300.0,8500.0,9000.0,9000.0,9000.0,9000.0,7554.0,5100.0
6,07.03.2025,4280.0,3858.0,3450.0,3764.0,3764.0,4210.0,5600.0,6900.0,6900.0,5600.0,3885.0,3848.0,2699.0,3000.0,3000.0,3970.0,5600.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,6900.0
7,08.03.2025,5600.0,4500.0,3764.0,3764.0,3760.0,3764.0,5600.0,6700.0,5280.0,3900.0,2600.0,2500.0,999.0,2698.0,3000.0,3549.0,5600.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,6900.0
8,09.03.2025,5600.0,4000.0,3100.0,1000.0,1000.0,3150.0,3756.0,4200.0,3910.0,2650.0,990.0,440.0,250.0,440.0,2400.0,3000.0,3910.0,8900.0,9000.0,9000.0,9000.0,9000.0,6790.0,5000.0
9,10.03.2025,5180.0,3350.0,2845.0,1000.0,2000.0,3400.0,5600.0,6900.0,6900.0,4100.0,3450.0,1878.0,350.0,450.0,2350.0,3000.0,5600.0,9000.0,9000.0,9000.0,9000.0,9000.0,7800.0,6900.0
10,11.03.2025,4740.0,3710.0,2939.0,1970.0,800.0,2939.0,5180.0,6900.0,6800.0,3800.0,2400.0,1000.0,450.0,1670.0,1875.0,1670.0,5600.0,9000.0,9000.0,9000.0,9000.0,9000.0,7500.0,5580.0
11,12.03.2025,4000.0,3250.0,2900.0,1666.0,777.0,3000.0,4000.0,4700.0,5277.49,5300.0,2848.0,1874.0,450.0,1874.0,2349.0,3000.0,5600.0,9000.0,9000.0,9000.0,9000.0,9000.0,8892.47,6900.0
12,13.03.2025,4280.0,3300.0,2545.0,450.0,450.0,500.0,4190.0,6870.33,6900.0,6900.0,4000.0,3250.0,2900.0,2900.0,3250.0,3970.0,5446.0,8889.48,8800.0,8891.42,8891.93,8300.0,6500.0,4800.0
13,14.03.2025,4280.0,3708.0,3000.0,3000.0,3000.0,3250.0,5400.0,6740.0,6700.0,3894.0,2890.0,2200.0,450.0,999.0,2730.0,2999.0,5550.0,8892.95,8900.0,9000.0,8888.71,8880.0,8300.0,5275.82
